measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,6,China,3,Both,22,All ages,976,Diabetes mellitus type 2,3,Rate,2013,6461.6727569815,7003.3374343604,5952.59337907836
5,Prevalence,73,Western Europe,3,Both,22,All ages,429,Breast cancer,3,Rate,2013,884.20893334438,918.63961154893,840.1530918648699
5,Prevalence,73,Western Europe,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,4945.09853572254,5392.25325258741,4514.91913439318
5,Prevalence,73,Western Europe,3,Both,22,All ages,515,Asthma,3,Rate,2013,6181.68047105951,6990.3284584515595,5365.2068471062
5,Prevalence,73,Western Europe,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,2013,1517.70751439221,1722.9454478141001,1311.19881169207
5,Prevalence,6,China,3,Both,22,All ages,429,Breast cancer,3,Rate,2013,194.4933306847,218.22164551855,170.90257446962
5,Prevalence,6,China,3,Both,22,All ages,589,Chronic kidney disease,3,Rate,2013,7773.39007251665,8386.719717426271,7216.01409429901
5,Prevalence,73,Western Europe,3,Both,22,All ages,589,Chronic kidney disease,3,Rate,2013,8692.3922871252,9188.673346544821,8174.23891572226
5,Prevalence,20,Viet Nam,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1793.57660320735,2011.57593616022,1592.37538700088
5,Prevalence,20,Viet Nam,3,Both,22,All ages,429,Breast cancer,3,Rate,2013,105.30596053229,127.70045208131,84.62250150336
5,Prevalence,6,China,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,3058.7239296204298,3414.28868994988,2745.5237372834204
5,Prevalence,67,Japan,3,Both,22,All ages,429,Breast cancer,3,Rate,2013,643.15872362943,681.91235529114,593.1986520896301
5,Prevalence,20,Viet Nam,3,Both,22,All ages,589,Chronic kidney disease,3,Rate,2013,8980.12395773794,9837.08817567503,8215.32805296603
